date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2018-03-14 00:00:00+05:30,1086022.5500,2151448.1000,-1065425.5500,-1171713.3500,1000000.0000,0.0000,106287.8000,-20265.2500,86022.5500,1086022.5500,0.0000,0.0000,-40349.7500,0.9800,-0.9800,1065425.5500,-1065425.5500,0.0000,1065425.5500,0,1,-0.0358,0.0860,0.4795,-0.0607,,,998389.6400,-0.0009,,
2018-03-15 00:00:00+05:30,1065673.4500,23245.9500,1042427.5000,1047050.0000,1000000.0000,0.0000,-4622.5000,70295.9500,65673.4500,1065673.4500,0.0000,0.0000,-20349.1000,0.9800,0.9800,1042427.5000,1042427.5000,1042427.5000,0.0000,1,0,-0.0187,0.0657,0.4766,-0.0783,,,992312.4482,-0.0061,,
2018-03-16 00:00:00+05:30,1069220.9500,23245.9500,1045975.0000,1047050.0000,1000000.0000,0.0000,-1075.0000,70295.9500,69220.9500,1069220.9500,0.0000,0.0000,3547.5000,0.9800,0.9800,1045975.0000,1045975.0000,1045975.0000,0.0000,1,0,0.0033,0.0692,0.4721,-0.0753,,,979640.4488,-0.0128,,
2018-03-19 00:00:00+05:30,1037128.6500,3127498.2000,-2090369.5500,-2067287.2600,1000000.0000,0.0000,-23082.2900,60210.9400,37128.6500,1037128.6500,0.0000,0.0000,-32092.3000,2.0200,-2.0200,2090369.5500,-2090369.5500,0.0000,2090369.5500,0,2,-0.0300,0.0371,0.4722,-0.1030,,,967553.1634,-0.0123,,
2018-03-20 00:00:00+05:30,1020579.6000,3086485.5000,-2065905.9000,-2028661.3800,1000000.0000,0.0000,-37244.5200,57824.1200,20579.6000,1020579.6000,0.0000,0.0000,-16549.0500,2.0200,-2.0200,2065905.9000,-2065905.9000,0.0000,2065905.9000,0,2,-0.0160,0.0206,0.4691,-0.1173,,,971794.7366,0.0044,,
2018-03-21 00:00:00+05:30,983401.0500,983401.0500,0.0000,0.0000,1000000.0000,0.0000,0.0000,-16598.9500,-16598.9500,983401.0500,0.0000,0.0000,-37178.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0364,-0.0166,0.4713,-0.1495,,,973400.3039,0.0017,,
2018-03-22 00:00:00+05:30,983401.0500,983401.0500,0.0000,0.0000,1000000.0000,0.0000,0.0000,-16598.9500,-16598.9500,983401.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.0166,0.4671,-0.1495,,,968770.5189,-0.0048,,
2018-03-23 00:00:00+05:30,979221.4500,2911929.0500,-1932707.6000,-1928532.1000,1000000.0000,0.0000,-4175.5000,-16603.0500,-20778.5500,979221.4500,0.0000,0.0000,-4179.6000,1.9700,-1.9700,1932707.6000,-1932707.6000,0.0000,1932707.6000,0,2,-0.0043,-0.0208,0.4631,-0.1531,,,957282.3258,-0.0119,,
2018-03-26 00:00:00+05:30,939688.9500,939688.9500,0.0000,0.0000,1000000.0000,0.0000,0.0000,-60311.0500,-60311.0500,939688.9500,0.0000,0.0000,-39532.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0404,-0.0603,0.4667,-0.1873,,,972043.9590,0.0154,,
2018-03-27 00:00:00+05:30,969114.6500,950427.4500,18687.2000,-10693.9100,1000000.0000,0.0000,29381.1100,-60266.4600,-30885.3500,969114.6500,0.0000,0.0000,29425.7000,1.9100,0.0200,1847118.8000,18687.2000,932903.0000,914215.8000,1,1,0.0313,-0.0309,0.4672,-0.1619,,,976141.7500,0.0042,,
2018-03-28 00:00:00+05:30,983733.3000,993037.3000,-9304.0000,-52989.0000,1000000.0000,0.0000,43685.0000,-59951.7000,-16266.7000,983733.3000,0.0000,0.0000,14618.6500,1.9600,-0.0100,1931844.0000,-9304.0000,961270.0000,970574.0000,1,1,0.0151,-0.0163,0.4643,-0.1492,0.0807,0.4682,970169.9984,-0.0061,,
2018-04-02 00:00:00+05:30,982592.7000,4137.4500,978455.2500,944300.8300,1000000.0000,0.0000,34154.4200,-51561.7200,-17407.3000,982592.7000,0.0000,0.0000,-1140.6000,1.0600,1.0000,1044860.8500,978455.2500,1011658.0500,33202.8000,2,1,-0.0012,-0.0174,0.4605,-0.1502,0.0700,0.4682,979348.0918,0.0095,-0.00011408852764705646,-0.7798943176212351
2018-04-03 00:00:00+05:30,978551.2500,205.6000,978345.6500,948410.9300,1000000.0000,0.0000,29934.7200,-51383.4700,-21448.7500,978551.2500,0.0000,0.0000,-4041.4500,1.0700,1.0000,1045103.1500,978345.6500,1011724.4000,33378.7500,2,1,-0.0041,-0.0214,0.4568,-0.1537,0.0332,0.4682,981974.5122,0.0027,-0.00014739977447408246,-0.7813417294899734
2018-04-04 00:00:00+05:30,942025.3500,19633.3500,922392.0000,943569.2300,1000000.0000,0.0000,-21177.2300,-36797.4200,-57974.6500,942025.3500,0.0000,0.0000,-36525.9000,0.9800,0.9800,922392.0000,922392.0000,922392.0000,0.0000,1,0,-0.0373,-0.0580,0.4593,-0.1853,-0.1906,0.4739,970040.5945,-0.0122,-0.0008587217307740865,-0.6459494742606173
2018-04-05 00:00:00+05:30,958033.3500,19633.3500,938400.0000,943569.2300,1000000.0000,0.0000,-5169.2300,-36797.4200,-41966.6500,958033.3500,0.0000,0.0000,16008.0000,0.9800,0.9800,938400.0000,938400.0000,938400.0000,0.0000,1,0,0.0170,-0.0420,0.4569,-0.1714,-0.3782,0.4686,989954.4211,0.0205,-0.00014938256422101324,-0.49930877739045015
2018-04-06 00:00:00+05:30,959873.3500,19633.3500,940240.0000,943569.2300,1000000.0000,0.0000,-3329.2300,-36797.4200,-40126.6500,959873.3500,0.0000,0.0000,1840.0000,0.9800,0.9800,940240.0000,940240.0000,940240.0000,0.0000,1,0,0.0019,-0.0401,0.4534,-0.1698,-0.8417,0.4561,989312.1942,-0.0006,-0.0008012400208210256,-0.5534247422176146
2018-04-09 00:00:00+05:30,975605.3500,19633.3500,955972.0000,943569.2300,1000000.0000,0.0000,12402.7700,-36797.4200,-24394.6500,975605.3500,0.0000,0.0000,15732.0000,0.9800,0.9800,955972.0000,955972.0000,955972.0000,0.0000,1,0,0.0164,-0.0244,0.4511,-0.1562,-0.8436,0.4560,994334.9836,0.0051,-0.0013839521336456643,-0.5985577905239742
2018-04-10 00:00:00+05:30,961136.6500,963020.8500,-1884.2000,141.9500,1000000.0000,0.0000,-2026.1500,-36837.2000,-38863.3500,961136.6500,0.0000,0.0000,-14468.7000,1.9700,-0.0000,1893315.8000,-1884.2000,945715.8000,947600.0000,1,1,-0.0148,-0.0389,0.4486,-0.1688,-1.0190,0.4567,997018.9169,0.0027,-0.0019343306699551137,-0.6333903647980768
2018-04-11 00:00:00+05:30,969946.2500,967209.4500,2736.8000,-4046.4800,1000000.0000,0.0000,6783.2800,-36837.0300,-30053.7500,969946.2500,0.0000,0.0000,8809.6000,1.9500,0.0000,1891883.2000,2736.8000,947310.0000,944573.2000,1,1,0.0092,-0.0301,0.4456,-0.1611,-1.0124,0.4567,998236.2724,0.0012,-0.001853591102475634,-0.6314719987234826
2018-04-12 00:00:00+05:30,994682.7500,998578.8000,-3896.0500,-51990.0300,1000000.0000,0.0000,48093.9800,-53411.2300,-5317.2500,994682.7500,0.0000,0.0000,24736.5000,1.9600,-0.0000,1952792.0500,-3896.0500,974448.0000,978344.0500,1,1,0.0255,-0.0053,0.4450,-0.1397,-0.9211,0.4587,1002080.0483,0.0039,-0.001525556991968087,-0.6037483268482596
2018-04-13 00:00:00+05:30,965531.8500,20218.8500,945313.0000,904457.8100,1000000.0000,0.0000,40855.1900,-75323.3400,-34468.1500,965531.8500,0.0000,0.0000,-29150.9000,0.9800,0.9800,945313.0000,945313.0000,945313.0000,0.0000,1,0,-0.0293,-0.0345,0.4453,-0.1650,-0.9766,0.4602,1004912.5565,0.0028,-0.0022687574795601387,-0.6323138877464337
2018-04-16 00:00:00+05:30,964544.7000,3345.3000,961199.4000,921363.5000,1000000.0000,0.0000,39835.9000,-75291.2000,-35455.3000,964544.7000,0.0000,0.0000,-987.1500,1.0000,1.0000,961199.4000,961199.4000,961199.4000,0.0000,2,0,-0.0010,-0.0355,0.4422,-0.1658,-0.9629,0.4602,1009417.7303,0.0045,-0.0018793542023644303,-0.6194308216244969
2018-04-17 00:00:00+05:30,963645.6000,3345.3000,960300.3000,921363.5000,1000000.0000,0.0000,38936.8000,-75291.2000,-36354.4000,963645.6000,0.0000,0.0000,-899.1000,1.0000,1.0000,960300.3000,960300.3000,960300.3000,0.0000,2,0,-0.0009,-0.0364,0.4391,-0.1666,-0.8428,0.4595,1011032.8830,0.0016,-0.0018998268948292717,-0.6231758547246211
2018-04-18 00:00:00+05:30,966091.7000,20402.7500,945688.9500,904309.5800,1000000.0000,0.0000,41379.3700,-75287.6700,-33908.3000,966091.7000,0.0000,0.0000,2446.1000,2.9100,0.9800,2812849.0500,945688.9500,1879269.0000,933580.0500,2,1,0.0025,-0.0339,0.4361,-0.1645,-0.6742,0.4585,1009988.0661,-0.0010,-0.0016177181416097456,-0.6292706215270859
2018-04-19 00:00:00+05:30,985667.9000,874.3000,984793.6000,925300.8900,1000000.0000,0.0000,59492.7100,-73824.8100,-14332.1000,985667.9000,0.0000,0.0000,19576.2000,2.9000,1.0000,2862220.8000,984793.6000,1923507.2000,938713.6000,2,1,0.0203,-0.0143,0.4348,-0.1475,-0.5052,0.4606,1009988.0661,0.0000,-0.0010934597791979628,-0.6094800702283248
