Blueshift Alert(57350)[2021-09-13 15:29:00+05:30](WARNING): order a65a2f6dfb0a4707a9bb123de7c0de97 for 1120.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-13 15:29:00+05:30](WARNING): order 28429003849340cc9868a599be6322b8 for 4.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-14 15:29:00+05:30](WARNING): order 49dffdad351647739839f53ab0ede36f for 378.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-15 15:29:00+05:30](WARNING): order c54445924f2b4707a7724dbc9481b428 for 702.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-15 15:29:00+05:30](WARNING): order 16d6ee05d0aa4e4dba4537ec173b9b43 for 727.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-21 15:29:00+05:30](WARNING): order 2c3de4ddef464441bfad3687ac0c89b7 for 407.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-23 15:29:00+05:30](WARNING): order cae3f27626914fb888f85af5a3468de7 for 497.0 units of Equity(ADANIENT [17]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-30 15:29:00+05:30](WARNING): order 135bce5189e94658951548f0d03b3d60 for 430.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-30 15:29:00+05:30](WARNING): order 4961be8b046e4ad0b9b65967b0d47a95 for 5.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-09-30 15:29:00+05:30](WARNING): order 97e0bfd28b2b455796183f32be341441 for 2.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-05 15:29:00+05:30](WARNING): order d52a7c419b6c4b22b6d99b37fc2d72a3 for 1888.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-05 15:29:00+05:30](WARNING): order 18cef864ea454623a08cf7eb89709244 for 13.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-08 15:29:00+05:30](WARNING): order 4f2dc2dd20534269a00b6809b2ba468d for 338.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-20 15:29:00+05:30](WARNING): order 9933cdd0096e4089aa3d44ebdfdbbcdd for 171.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-20 15:29:00+05:30](WARNING): order 4219b6b805d748c1a074c12ce34ff3b5 for 501.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-20 15:29:00+05:30](WARNING): order f5fb0afccde04f06a57f0f16bc352c71 for 10.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-26 15:29:00+05:30](WARNING): order 5cc895659db04aa7b2cdf8c0282febac for 664.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-26 15:29:00+05:30](WARNING): order adbc62fbc3b6475ba309098cc022d517 for 2254.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-28 15:29:00+05:30](WARNING): order d76bb67099284356878e7d712ca1e70a for 1224.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-29 15:29:00+05:30](WARNING): order b15342bb2bfa4bada355809df64837e4 for 937.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-29 15:29:00+05:30](WARNING): order d2a6a9f29505463db2e989b6b3f5c85c for 40.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-29 15:29:00+05:30](WARNING): order 3a22d8360da04104894c0a4a6c076cdc for 51.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-10-29 15:29:00+05:30](WARNING): order 189a19d65ce9457485701137c7c75c22 for 2.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-02 15:29:00+05:30](WARNING): order 46b39a66f1194ae7a943bf8254dd8383 for 567.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-03 15:29:00+05:30](WARNING): order 3f339b5654c345b29b41a0c217e56468 for 51.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-03 15:29:00+05:30](WARNING): order 9081d56a38ed40bba3f42be2797df378 for 520.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-03 15:29:00+05:30](WARNING): order 759bcaf4a6b249cca7b79b566c614afd for 1.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-03 15:29:00+05:30](WARNING): order 328c0981c26145988e772187a9de4197 for 17.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-03 15:29:00+05:30](WARNING): order 5fc9509ecc414428adcee38a242eeb37 for 5.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-03 15:29:00+05:30](WARNING): order f5cc464c23564046b864b523072f88fd for 5.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-08 15:29:00+05:30](WARNING): order 3a63921567af47f8b4131d666fd7b79c for 361.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-17 15:29:00+05:30](WARNING): order be66817b49e54223bc74582e168fee1d for 546.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-17 15:29:00+05:30](WARNING): order ac6d6d0539f94284a5904d076a02f539 for 3.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-17 15:29:00+05:30](WARNING): order 295928402ffa410d889f0f75d3b9decd for 5.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-18 15:29:00+05:30](WARNING): order d75b01500875439eb5eddb47ad736ed7 for 323.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-18 15:29:00+05:30](WARNING): order fa1e9a8d379a4da283cfd8ab761b371a for 15.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-18 15:29:00+05:30](WARNING): order 56f676c2d20348d287dba6fcc49910a8 for 8.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-18 15:29:00+05:30](WARNING): order e3b8cdf77d2c4e64ac04a186b8866d65 for 6.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-24 15:29:00+05:30](WARNING): order cac05be88f8d4af880a641b261f7b801 for 1093.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-25 15:29:00+05:30](WARNING): order 44854a9d65bb41a184de106aa0223f66 for 445.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-25 15:29:00+05:30](WARNING): order dd2d89b0470a474ebe5200c103f3ba59 for 15.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-25 15:29:00+05:30](WARNING): order 15fcef9df772447d86327d4e0654799d for 4.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-25 15:29:00+05:30](WARNING): order dff70e83d9c1493884a4cf041df8aecc for 13.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-25 15:29:00+05:30](WARNING): order 2427e99e8df7499faba81126345e0a46 for 5.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-29 15:29:00+05:30](WARNING): order b91b12e23fe243869760d0743e4c8e0b for 1303.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-11-29 15:29:00+05:30](WARNING): order 8273351c339a4a8695a69ab8e5edfe47 for 48.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-12-01 15:29:00+05:30](WARNING): order bda7281a8b284dcca5fd54b45fe98817 for 979.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-12-03 15:29:00+05:30](WARNING): order 6dbc174c8bbc4db1ae53bd437bb777ea for 177.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-12-03 15:29:00+05:30](WARNING): order 7681103bd2f34a7e89141c1cb53a10ad for 2870.0 units of Equity(BRITANNIA [143]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-12-06 15:29:00+05:30](WARNING): order 0632839ab8fb47c2abfa67a14db9660e for 227.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-12-06 15:29:00+05:30](WARNING): order 40594c32b57645aebf5f9aa5cdf3d32a for 4.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-12-06 15:29:00+05:30](WARNING): order c2b5fca9fc10481fb622566900763579 for 4.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
Blueshift Alert(57350)[2021-12-06 15:29:00+05:30](WARNING): order e2f1e0e91d934e7e8a7b3966bcf5ecaf for 3.0 units of Equity(TATAELXSI [867]) could not be filled by EOD, and was cancelled.
