date,ADANIENT,TATAELXSI,BRITANNIA
2019-02-21 15:35:00+05:30,7080.0,15.0,
2019-02-22 15:35:00+05:30,7075.0,15.0,
2019-02-25 15:35:00+05:30,7067.0,16.0,1.0
2019-02-26 15:35:00+05:30,7061.0,,1.0
2019-02-27 15:35:00+05:30,7061.0,,
2019-02-28 15:35:00+05:30,7061.0,,
2019-03-01 15:35:00+05:30,7061.0,15.0,
2019-03-05 15:35:00+05:30,7057.0,21.0,
2019-03-06 15:35:00+05:30,7060.0,21.0,
2019-03-07 15:35:00+05:30,7060.0,21.0,
2019-03-08 15:35:00+05:30,7060.0,21.0,
2019-03-11 15:35:00+05:30,7061.0,21.0,
2019-03-12 15:35:00+05:30,7054.0,21.0,
2019-03-13 15:35:00+05:30,7056.0,21.0,
2019-03-14 15:35:00+05:30,,,324.0
2019-03-15 15:35:00+05:30,,1044.0,
2019-03-18 15:35:00+05:30,,1043.0,
2019-03-19 15:35:00+05:30,,1043.0,
2019-03-20 15:35:00+05:30,,1047.0,-340.0
2019-03-22 15:35:00+05:30,,1046.0,-333.0
2019-03-25 15:35:00+05:30,-7562.0,,-330.0
2019-03-26 15:35:00+05:30,,,-317.0
2019-03-27 15:35:00+05:30,7169.0,,-319.0
2019-03-28 15:35:00+05:30,7148.0,,-326.0
2019-03-29 15:35:00+05:30,7141.0,21.0,
2019-04-01 15:35:00+05:30,7142.0,21.0,
2019-04-02 15:35:00+05:30,7143.0,1085.0,-354.0
2019-04-03 15:35:00+05:30,7178.0,1088.0,-357.0
2019-04-04 15:35:00+05:30,6983.0,,
2019-04-05 15:35:00+05:30,6984.0,,
2019-04-08 15:35:00+05:30,,,-338.0
2019-04-09 15:35:00+05:30,,,-342.0
2019-04-10 15:35:00+05:30,,1044.0,-340.0
2019-04-11 15:35:00+05:30,-7244.0,,-343.0
2019-04-12 15:35:00+05:30,,,
2019-04-15 15:35:00+05:30,,1003.0,
2019-04-16 15:35:00+05:30,1583.0,,253.0
2019-04-18 15:35:00+05:30,,-1015.0,
2019-04-22 15:35:00+05:30,-7108.0,,
2019-04-23 15:35:00+05:30,-7389.0,,
2019-04-24 15:35:00+05:30,,,
2019-04-25 15:35:00+05:30,,,
2019-04-26 15:35:00+05:30,-7635.0,,
2019-04-30 15:35:00+05:30,-8359.0,1130.0,-364.0
2019-05-02 15:35:00+05:30,-8427.0,-1173.0,-380.0
2019-05-03 15:35:00+05:30,-8744.0,-1272.0,-413.0
2019-05-06 15:35:00+05:30,-9347.0,-1366.0,-442.0
2019-05-07 15:35:00+05:30,-9534.0,,-442.0
2019-05-08 15:35:00+05:30,,,-447.0
2019-05-09 15:35:00+05:30,-10135.0,,
2019-05-10 15:35:00+05:30,,,
2019-05-13 15:35:00+05:30,-9987.0,,
2019-05-14 15:35:00+05:30,9733.0,-1438.0,442.0
2019-05-15 15:35:00+05:30,,,
2019-05-16 15:35:00+05:30,,,402.0
2019-05-17 15:35:00+05:30,,,402.0
2019-05-20 15:35:00+05:30,,,402.0
2019-05-21 15:35:00+05:30,,,402.0
2019-05-22 15:35:00+05:30,141.0,,402.0
2019-05-23 15:35:00+05:30,141.0,,402.0
2019-05-24 15:35:00+05:30,,,402.0
2019-05-27 15:35:00+05:30,,17.0,402.0
2019-05-28 15:35:00+05:30,,24.0,402.0
2019-05-29 15:35:00+05:30,,24.0,402.0
2019-05-30 15:35:00+05:30,,28.0,402.0
2019-05-31 15:35:00+05:30,-7838.0,,406.0
2019-06-03 15:35:00+05:30,,,394.0
2019-06-04 15:35:00+05:30,-7318.0,,387.0
2019-06-06 15:35:00+05:30,-7660.0,,
2019-06-07 15:35:00+05:30,-8009.0,,
2019-06-10 15:35:00+05:30,-8086.0,,403.0
2019-06-11 15:35:00+05:30,-7720.0,1355.0,
2019-06-12 15:35:00+05:30,,,
2019-06-13 15:35:00+05:30,,-1321.0,
2019-06-14 15:35:00+05:30,,,
2019-06-17 15:35:00+05:30,-7307.0,1251.0,-369.0
2019-06-18 15:35:00+05:30,-7690.0,1293.0,-393.0
2019-06-19 15:35:00+05:30,-7905.0,,
2019-06-20 15:35:00+05:30,,,-392.0
2019-06-21 15:35:00+05:30,,,
2019-06-24 15:35:00+05:30,,,-391.0
2019-06-25 15:35:00+05:30,,,
2019-06-26 15:35:00+05:30,,1262.0,-398.0
2019-06-27 15:35:00+05:30,139.0,1255.0,
2019-06-28 15:35:00+05:30,139.0,1254.0,
2019-07-01 15:35:00+05:30,141.0,1254.0,
2019-07-02 15:35:00+05:30,,1253.0,
2019-07-03 15:35:00+05:30,,1253.0,7.0
2019-07-04 15:35:00+05:30,437.0,,384.0
2019-07-05 15:35:00+05:30,,,402.0
2019-07-08 15:35:00+05:30,-8047.0,-1328.0,
2019-07-09 15:35:00+05:30,,-1316.0,-407.0
2019-07-10 15:35:00+05:30,-8026.0,-1318.0,-406.0
2019-07-11 15:35:00+05:30,-7941.0,-1330.0,
2019-07-12 15:35:00+05:30,-7715.0,-1286.0,
2019-07-15 15:35:00+05:30,-8483.0,-1432.0,
2019-07-16 15:35:00+05:30,-8334.0,-1416.0,-419.0
2019-07-17 15:35:00+05:30,-9229.0,-1717.0,
2019-07-18 15:35:00+05:30,-9759.0,-1791.0,463.0
2019-07-19 15:35:00+05:30,-10506.0,-1941.0,
2019-07-22 15:35:00+05:30,-10589.0,-2028.0,-506.0
2019-07-23 15:35:00+05:30,,-2036.0,-504.0
2019-07-24 15:35:00+05:30,-11134.0,-2178.0,-549.0
2019-07-25 15:35:00+05:30,-11545.0,-2265.0,
2019-07-26 15:35:00+05:30,,-2199.0,-537.0
2019-07-29 15:35:00+05:30,,-2249.0,
2019-07-30 15:35:00+05:30,,-2361.0,-563.0
2019-07-31 15:35:00+05:30,,,-573.0
2019-08-01 15:35:00+05:30,,-2432.0,-575.0
2019-08-02 15:35:00+05:30,,-2288.0,-547.0
2019-08-05 15:35:00+05:30,-12043.0,-2431.0,-575.0
2019-08-06 15:35:00+05:30,,,-560.0
2019-08-07 15:35:00+05:30,,,
2019-08-08 15:35:00+05:30,,,
2019-08-09 15:35:00+05:30,,497.0,
2019-08-13 15:35:00+05:30,,-2366.0,-574.0
2019-08-14 15:35:00+05:30,,-2397.0,-584.0
2019-08-16 15:35:00+05:30,,-2340.0,-581.0
2019-08-19 15:35:00+05:30,,,-559.0
2019-08-20 15:35:00+05:30,,,-605.0
2019-08-21 15:35:00+05:30,-11229.0,2347.0,-626.0
2019-08-22 15:35:00+05:30,-11038.0,,
2019-08-23 15:35:00+05:30,,,
2019-08-26 15:35:00+05:30,,,562.0
2019-08-27 15:35:00+05:30,217.0,3.0,561.0
2019-08-28 15:35:00+05:30,,43.0,561.0
2019-08-29 15:35:00+05:30,-11224.0,,554.0
2019-08-30 15:35:00+05:30,,,541.0
2019-09-03 15:35:00+05:30,,,541.0
2019-09-04 15:35:00+05:30,,,
2019-09-05 15:35:00+05:30,,,534.0
2019-09-06 15:35:00+05:30,,2255.0,
2019-09-09 15:35:00+05:30,183.0,2265.0,
2019-09-11 15:35:00+05:30,204.0,2265.0,
2019-09-12 15:35:00+05:30,204.0,2265.0,
2019-09-13 15:35:00+05:30,4804.0,,
2019-09-16 15:35:00+05:30,10088.0,19.0,
2019-09-17 15:35:00+05:30,,,
2019-09-18 15:35:00+05:30,,,-554.0
2019-09-19 15:35:00+05:30,-10203.0,,
2019-09-20 15:35:00+05:30,111.0,,468.0
2019-09-23 15:35:00+05:30,193.0,,467.0
2019-09-24 15:35:00+05:30,193.0,,467.0
2019-09-25 15:35:00+05:30,193.0,,467.0
2019-09-26 15:35:00+05:30,193.0,,467.0
2019-09-27 15:35:00+05:30,,2052.0,
2019-09-30 15:35:00+05:30,,2053.0,
2019-10-01 15:35:00+05:30,-9827.0,,
2019-10-03 15:35:00+05:30,,,-475.0
2019-10-04 15:35:00+05:30,-9890.0,,-490.0
2019-10-07 15:35:00+05:30,,,
2019-10-09 15:35:00+05:30,,-2074.0,444.0
2019-10-10 15:35:00+05:30,,-2257.0,
2019-10-11 15:35:00+05:30,-9970.0,-2168.0,
2019-10-14 15:35:00+05:30,8550.0,,5.0
2019-10-15 15:35:00+05:30,8547.0,,8.0
2019-10-16 15:35:00+05:30,8543.0,41.0,
2019-10-17 15:35:00+05:30,8540.0,41.0,
2019-10-18 15:35:00+05:30,8536.0,,8.0
2019-10-22 15:35:00+05:30,8533.0,,8.0
2019-10-23 15:35:00+05:30,8538.0,,8.0
2019-10-24 15:35:00+05:30,8535.0,,8.0
2019-10-25 15:35:00+05:30,8531.0,21.0,
2019-10-29 15:35:00+05:30,8523.0,41.0,
2019-10-30 15:35:00+05:30,8525.0,41.0,
2019-10-31 15:35:00+05:30,8522.0,41.0,
2019-11-01 15:35:00+05:30,8523.0,41.0,
2019-11-04 15:35:00+05:30,8526.0,2051.0,-526.0
2019-11-05 15:35:00+05:30,8406.0,,-519.0
2019-11-06 15:35:00+05:30,8363.0,,-538.0
2019-11-07 15:35:00+05:30,8431.0,,-550.0
2019-11-08 15:35:00+05:30,8486.0,,-559.0
2019-11-11 15:35:00+05:30,8581.0,,-575.0
2019-11-13 15:35:00+05:30,-8025.0,-1997.0,487.0
2019-11-14 15:35:00+05:30,,-1969.0,
2019-11-15 15:35:00+05:30,,-2.0,
2019-11-18 15:35:00+05:30,,-1954.0,
2019-11-19 15:35:00+05:30,,1796.0,-466.0
2019-11-20 15:35:00+05:30,7127.0,,-470.0
2019-11-21 15:35:00+05:30,7160.0,,-477.0
2019-11-22 15:35:00+05:30,,-1766.0,-480.0
2019-11-25 15:35:00+05:30,7040.0,,-495.0
2019-11-26 15:35:00+05:30,,,
2019-11-27 15:35:00+05:30,,1842.0,9.0
2019-11-28 15:35:00+05:30,6843.0,,
2019-11-29 15:35:00+05:30,6827.0,37.0,
2019-12-02 15:35:00+05:30,,,
2019-12-03 15:35:00+05:30,,,
2019-12-04 15:35:00+05:30,,,
2019-12-05 15:35:00+05:30,,1689.0,
2019-12-06 15:35:00+05:30,,,
2019-12-09 15:35:00+05:30,,1634.0,
2019-12-10 15:35:00+05:30,,1634.0,
2019-12-11 15:35:00+05:30,,,-451.0
2019-12-12 15:35:00+05:30,5595.0,265.0,
2019-12-13 15:35:00+05:30,6569.0,1610.0,-456.0
2019-12-16 15:35:00+05:30,,1599.0,-436.0
2019-12-17 15:35:00+05:30,121.0,1594.0,
2019-12-18 15:35:00+05:30,,1593.0,
2019-12-19 15:35:00+05:30,,1594.0,7.0
2019-12-20 15:35:00+05:30,,1593.0,9.0
2019-12-23 15:35:00+05:30,,1593.0,
2019-12-24 15:35:00+05:30,,,
2019-12-26 15:35:00+05:30,,-1641.0,
2019-12-27 15:35:00+05:30,,,
2019-12-30 15:35:00+05:30,-6469.0,,
2019-12-31 15:35:00+05:30,,,
2020-01-01 15:35:00+05:30,,,
2020-01-02 15:35:00+05:30,4597.0,,133.0
2020-01-03 15:35:00+05:30,,1594.0,
2020-01-06 15:35:00+05:30,-6634.0,,-438.0
2020-01-07 15:35:00+05:30,,,
2020-01-08 15:35:00+05:30,,,
2020-01-09 15:35:00+05:30,,,-426.0
2020-01-10 15:35:00+05:30,,1524.0,-432.0
2020-01-13 15:35:00+05:30,126.0,1508.0,
2020-01-14 15:35:00+05:30,130.0,1507.0,
2020-01-15 15:35:00+05:30,130.0,1506.0,
2020-01-16 15:35:00+05:30,130.0,1506.0,
2020-01-17 15:35:00+05:30,1336.0,,72.0
2020-01-20 15:35:00+05:30,3232.0,,229.0
2020-01-21 15:35:00+05:30,,,
2020-01-22 15:35:00+05:30,6220.0,,
2020-01-23 15:35:00+05:30,6201.0,26.0,-459.0
2020-01-24 15:35:00+05:30,6002.0,1299.0,-383.0
